```csv
School Name,School Type,School Status
"The Walker School","Private school","Private"
"Tarlac Montessori School","Private school","Private"
"The Bateman School","Private school","Private"
"St. John's International School (Belgium)","Private school","Private"
"St. Rita School for the Deaf","Private school","Private"
"St. Paul's English High School","Private school","Private"
"St. George's Austrian High School","Private school","Private"
"St. Vincent's Academy","Private school","Private"
"St. Paul Academy and Summit School","Private school","Private"
"Symbiosis Institute of Business Management, Bengaluru","Private school","Private"
"The National Evangelical School in Nabatieh","Private school","Private"
"Zahrat Al-Sahraa International School","Private school","Private"
"West End Christian School","Private school","Private"
"The Cambridge School of Weston","Private school","Private"
"Trinity Catholic High School (Florida)","Private school","Private"
"Sweet Briar College","Private school","Private"
"Victoria College, Alexandria","Private school","Private"
"The Walker School","Private school","Private"
"Tarlac Montessori School","Private school","Private"
"The Bateman School","Private school","Private"
"St. John's International School (Belgium)","Private school","Private"
"St. Rita School for the Deaf","Private school","Private"
"St. Paul's English High School","Private school","Private"
"St. George's Austrian High School","Private school","Private"
"St. Vincent's Academy","Private school","Private"
"St. Paul Academy and Summit School","Private school","Private"
"Symbiosis Institute of Business Management, Bengaluru","Private school","Private"
"The National Evangelical School in Nabatieh","Private school","Private"
"Zahrat Al-Sahraa International School","Private school","Private"
"West End Christian School","Private school","Private"
"The Cambridge School of Weston","Private school","Private"
"Trinity Catholic High School (Florida)","Private school","Private"
"Sweet Briar College","Private school","Private"
"Victoria College, Alexandria","Private school","Private"
"The Walker School","Private school","Private"
"Tarlac Montessori School","Private school","Private"
"The Bateman School","Private school","Private"
"St. John's International School (Belgium)","Private school","Private"
"St. Rita School for the Deaf","Private school","Private"
"St. Paul's English High School","Private school","Private"
"St. George's Austrian High School","Private school","Private"
"St. Vincent's Academy","Private school","Private"
"St. Paul Academy and Summit School","Private school","Private"
"Symbiosis Institute of Business Management, Bengaluru","Private school","Private"
"The National Evangelical School in Nabatieh","Private school","Private"
"Zahrat Al-Sahraa International School","Private school","Private"
"West End Christian School","Private school","Private"
"The Cambridge School of Weston","Private school","Private"
"Trinity Catholic High School (Florida)","Private school","Private"
"Sweet Briar College","Private school","Private"
"Victoria College, Alexandria","Private school","Private"
"The Walker School","Private school","Private"
"Tarlac Montessori School","Private school","Private"
"The Bateman School","Private school","Private"
"St. John's International School (Belgium)","Private school","Private"
"St. Rita School for the Deaf","Private school","Private"
"St. Paul's English High School","Private school","Private"
"St. George's Austrian High School","Private school","Private"
"St. Vincent's Academy","Private school","Private"
"St. Paul Academy and Summit School","Private school","Private"
"Symbiosis Institute of Business Management, Bengaluru","Private school","Private"
"The National Evangelical School in Nabatieh","Private school","Private"
"Zahrat Al-Sahraa International School","Private school","Private"
"West End Christian School","Private school","Private"
"The Cambridge School of Weston","Private school","Private"
"Trinity Catholic High School (Florida)","Private school","Private"
"Sweet Briar College","Private school","Private"
"Victoria College, Alexandria","Private school","Private"
"The Walker School","Private school","Private"
"Tarlac Montessori School","Private school","Private"
"The Bateman School","Private school","Private"
"St. John's International School (Belgium)","Private school","Private"
"St. Rita School for the Deaf","Private school","Private"
"St. Paul's English High School","Private school","Private"
"St. George's Austrian High School","Private school","Private"
"St. Vincent's Academy","Private school","Private"
"St. Paul Academy and Summit School","Private school","Private"
"Symbiosis Institute of Business Management, Bengaluru","Private school","Private"
"The National Evangelical School in Nabatieh","Private school","Private"
"Zahrat Al-Sahraa International School","Private school","Private"
"West End Christian School","Private school","Private"
"The Cambridge School of Weston","Private school","Private"
"Trinity Catholic High School (Florida)","Private school","Private"
